Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06745,2,2,0.9432
tr_img_06746,25,25,0.9389
tr_img_06747,2,2,0.5511
tr_img_06748,14,14,0.9584
tr_img_06749,3,3,0.7598
tr_img_06750,0,0,0.0000
tr_img_06751,12,12,0.9592
tr_img_06752,15,15,0.8689
tr_img_06753,30,30,0.9865
tr_img_06754,0,0,0.0000
tr_img_06755,1,1,0.5287
tr_img_06756,17,17,0.8187
tr_img_06757,10,10,0.9684
tr_img_06758,3,3,0.9846
tr_img_06759,5,5,0.8712
tr_img_06760,3,3,0.6620
tr_img_06761,0,0,0.0000
tr_img_06762,2,2,0.9605
tr_img_06763,3,3,0.9217
tr_img_06764,2,2,0.7073
tr_img_06765,5,5,0.9751
tr_img_06766,17,17,0.9252
tr_img_06767,6,6,0.9193
tr_img_06768,3,3,0.9062
tr_img_06769,1,1,0.9998
tr_img_06770,0,0,0.0000
tr_img_06771,6,6,0.7717
tr_img_06772,9,9,0.8238
tr_img_06773,3,3,0.9946
tr_img_06774,0,0,0.0000
tr_img_06775,44,44,0.9550
tr_img_06776,7,7,0.7498
tr_img_06777,9,9,0.9993
tr_img_06778,2,2,0.9433
tr_img_06779,9,9,0.9845
tr_img_06780,2,2,0.7384
tr_img_06781,0,0,0.0000
tr_img_06782,1,1,0.8454
tr_img_06783,6,6,0.8041
tr_img_06784,27,27,0.9168
tr_img_06785,4,4,0.8197
tr_img_06786,8,8,0.9751
tr_img_06787,0,0,0.0000
tr_img_06788,6,6,0.5986
tr_img_06789,4,4,0.8115
tr_img_06790,1,1,0.7808
tr_img_06791,1,1,0.8949
tr_img_06792,1,1,0.5532
tr_img_06793,1,1,0.8796
tr_img_06794,4,4,0.9515
tr_img_06795,4,4,0.9761
tr_img_06796,0,0,0.0000
tr_img_06797,0,0,0.0000
tr_img_06798,25,25,0.9078
tr_img_06799,6,6,0.9059
tr_img_06800,6,6,0.9222
tr_img_06801,7,7,0.9410
tr_img_06802,5,5,0.9830
